web-scraper-order,web-scraper-start-url,Product_Name,Product_Price,Product_Sold
"1713627386-33","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Timah Pasta Low Temp Amaoe Original Solder Paste 138 Soldering Cair","Rp105.200","553 Terjual"
"1713627386-34","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Flexible Papan Cas Nokia 6.1 Plus X6 Flex Charger Board","Rp19.500","25 Terjual"
"1713627386-35","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja Oppo A5 A9 2020 Tipe C Connector Charger Ces","Rp3.300","6,3RB Terjual"
"1713627386-36","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas X901 Oppo Original Connector Charger Ces","Rp650","10RB+ Terjual"
"1713627386-37","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas J2 Prime Connector Ces Charger Charging Samsung","Rp1.600","10RB+ Terjual"
"1713627386-38","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja Samsung A10 A105F Original Port Usb Connector Charger","Rp4.400","2,5RB Terjual"
"1713627386-39","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Mic Samsung A20 J4 Plus Modul Microphone Kualitas Bagus Mikrofon","Rp5.500","7,3RB Terjual"
"1713627386-40","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","IC Power PM8150B Original New Tested PM 8150B","Rp56.100","327 Terjual"
"1713627386-41","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","IC RF QM 56020 Redmi 8  Samsung A20S Original New Tested PA Qm56020","Rp36.300","2,3RB Terjual"
"1713627386-42","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja Redmi 5 Plus Xiaomi Connector Charger Ces Only","Rp1.300","10RB+ Terjual"
"1713627386-43","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja Vivo Y15s Connector Charger Usb Port Ces Charging Only","Rp2.600","4,2RB Terjual"
"1713627386-44","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kaca Kamera Poco M4 Pro 4G Lensa Camera Lens Belakang","Rp18.600","249 Terjual"
"1713627386-45","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja A52 A16 A74 Oppo Original Connector Charger Ces","Rp3.300","8,3RB Terjual"
"1713627386-46","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kaca Lensa Kamera A50S Samsung Original Camera Belakang Lens Lense","Rp13.600","471 Terjual"
"1713627386-47","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kaca Kamera Redmi Note 10S 10 s Original Lensa Camera Belakang Lens Xiaomi","Rp12.200Rp16.200-25%","1,4RB Terjual"
"1713627386-48","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja Vivo Y53 Y55 Y66 Connector Charger","Rp1.600","10RB+ Terjual"
"1713627386-49","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Baterai Y91 Y93 Y95 Vivo Socket Connector Battery Batere","Rp14.400","197 Terjual"
"1713627386-50","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Lensa Kamera Samsung A32 Kaca Camera Belakang Lens","Rp12.600","40 Terjual"
"1713627386-51","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kaca Kamera Samsung A12 Original Lensa Camera Belakang Lens","Rp12.300","437 Terjual"
"1713627386-52","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Flex Papan Cas Redmi Note 10s Fast Charging Board Flexible Xiaomi Ces Fleksibel Charger With IC","Rp66.500","100 Terjual"
"1713627386-53","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja Vivo V5 Y67 Original Connector Charger Ces","Rp2.600","10RB+ Terjual"
"1713627386-54","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kaca Kamera Poco X3 GT Lensa Camera Lens Belakang","Rp14.400","38 Terjual"
"1713627386-55","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Baterai lp Xr Xs Max Original Connector Battery Di Mesin","Rp23.300","227 Terjual"
"1713627386-56","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","IC CPU SM8250 002-AC Poco F3 Original New Tested SM8250-002-AC SM 8250","Rp335.200","127 Terjual"
